Equation Lookup Name,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Pct deviation of fit equation,Last modified,Rsq of fit equation,max size used to gen curve,min size for which curve fits are valid
back_pump_eq,0,0,0,0,0,0,0,-0.00067003,14.80901498,4093.494684836,0.16787720556525074, 1/17/2023 11:37:54 AM,0.9581243118312417,10001,0
bldg_hi_eq,378.41221851,-0.136715242,0,0,0,0,0,0,0,0,0.040372546378012256, 1/25/2023 5:11:07 PM,0.9531994766610841,200000.1,0
bldg_lo_eq,163.720872602,-0.095204622,0,0,0,0,0,0,0,0,0.024871309850656418, 1/25/2023 5:10:26 PM,0.9670083031398534,200000.1,0
bldg_mid_eq,198.021193839,-0.096244836,0,0,0,0,0,0,0,0,0.025881342871107462, 1/25/2023 5:10:48 PM,0.9658849561909745,200000.1,0
ci_bfv_eq_large,0,0,0,0,0,0,1.500986001,-137.111449504,4591.243582748,-36246.272177972,0.1011895663310697, 1/17/2023 10:13:27 AM,0.9492203075042033,48.1,14
ci_bfv_eq_small,221.776532152,1.046371034,0,0,0,0,0,0,0,0,0.19940134150122094, 1/17/2023 11:28:24 AM,0.949542244454182,12,1
ci_chv_eq,0,0,0,0,0,0,3.240756524,50.118205304,-32.5456471,553.63390991,0.12711337788421534, 1/17/2023 10:59:59 AM,0.9570686887252269,24.1,2
ci_mov_eq,0,0,0,0,0,0,0,0,1304.612083272,-1165.048567749,0.34948104502507477, 1/17/2023 11:27:00 AM,0.942418395976219,48.1,1
cont_bot_add_eq,0,0,0,0,0,0,2.5666e-05,-0.031620272,66.758900197,1888.960102652,0.03328590583928931, 1/25/2023 6:03:24 PM,0.9949620259700764,1001,0
cont_bot_eq,0,0,0,0,0,0,-5.629e-06,0.013916018,52.090398698,47002.723866153,0.008147411895920694, 1/25/2023 6:03:12 PM,0.9989375981217193,1001,0
cont_top_eq,0,0,0,0,33696.395725933,0.059381778,0,0,0,0,0.0495215704849743, 1/25/2023 6:03:34 PM,0.985221247078604,31,0
cpvc_pipe_eq,0,0,0,0,0,0,0.006507248,0.744088166,2.910642758,0.951187256,0.09273012796955193, 1/13/2023 3:31:55 PM,0.9799783492961293,18.1,0
cs_pv_eq,1596.499332614,0.459496809,0,0,0,0,0,0,0,0,0.10812247070213186, 1/13/2023 9:40:48 AM,0.9824079887188734,27101,0
csp_pv_eq,1798.698814468,0.423089341,0,0,0,0,0,0,0,0,0.10094397418738933, 1/13/2023 9:41:07 AM,0.9866132936773757,27101,0
di_pipe_eq,0,0,0,0,0,0,0.013009082,-0.638535671,18.152542467,11.056607187,0.08283894926691933, 1/13/2023 3:31:40 PM,0.9925721372566954,48.1,4
fg_bwt_eq,135.281859973,0.662226185,0,0,0,0,0,0,0,0,0.5662673161172013, 1/13/2023 10:21:22 AM,0.79467834835125,20001,0
fg_cst_eq,259.355329371,0.551376562,0,0,0,0,0,0,0,0,0.3725873287787521, 1/13/2023 11:28:39 AM,0.6598574703587661,30001,0
fg_pv_eq,0,0,0,0,0,0,0,0.002235492,18.79231828,275.543722419,0.027488567290999504, 1/13/2023 9:37:21 AM,0.9987819464995787,901,0
gac_eq,0,0,0,0,2.101628083,-5.637e-06,0,0,0,0,0.001963305077360003, 1/24/2023 2:54:07 PM,0.9995210307055945,40000,0
gac_slurry_eq,0,0,0,0,0,0,0,-5.31e-07,0.216379995,1726.136160226,0.13634459989196074, 1/19/2023 2:26:16 PM,0.8898933662288622,108290,0
hdpe_bwt_eq,0,0,0,0,0,0,3e-09,-4.4866e-05,2.097328222,434.23312942,0.15508350270168716, 1/13/2023 10:25:53 AM,0.8958319685991865,16502,0
hvac_ac_eq,2490.016643328,1.117904172,0,0,0,0,0,0,0,0,0.02906005299902809, 1/25/2023 5:27:00 PM,0.9970856961638169,113.33,0
hvac_elec_eq,1144.497326887,0.769391329,0,0,0,0,0,0,0,0,0.21824709010560447, 1/25/2023 5:44:55 PM,0.9836330835483375,6148.1,0
hvac_gas_eq,884.952743048,0.750617798,0,0,0,0,0,0,0,0,0.11117046204521347, 1/25/2023 5:45:25 PM,0.9737846824765828,5032.1,0
hvac_gas_non_eq,884.952743048,0.750617798,0,0,0,0,0,0,0,0,0.11117046204521347, 1/25/2023 5:45:06 PM,0.9737846824765828,5032.1,0
hvac_hp_eq_large,2416.510940135,0.810849807,0,0,0,0,0,0,0,0,0.06374801182124253, 1/25/2023 6:00:17 PM,0.9843854662179464,50.01,12
hvac_hp_eq_small,3571.60036252,0.525171947,0,0,0,0,0,0,0,0,0.2017819092012642, 1/25/2023 5:58:02 PM,0.8010194397273371,12,0
hvac_oil_mid_eq,1161.335000027,0.717399847,0,0,0,0,0,0,0,0,0.08961066388069375, 1/25/2023 5:45:51 PM,0.9857951341309356,3350.1,0
hvac_oil_std_eq,1161.335000027,0.717399847,0,0,0,0,0,0,0,0,0.08961066388069375, 1/25/2023 5:45:40 PM,0.9857951341309356,3350.1,0
imp_mix_eq,0,0,0,0,0,0,0,0,1053.024973895,4010.016173306,0.06537073818864049, 1/23/2023 12:37:02 PM,0.9846598234923809,110,0
mag_fm_eq,0,0,0,0,0,0,0.087416773,3.727367106,488.19409208,3103.652214921,0.15420855763774652, 1/23/2023 12:59:50 PM,0.9597401902560728,36.1,0
mount_mix_eq,3220.98006349,0.148044622,0,0,0,0,0,0,0,0,0.10096714189868675, 1/23/2023 12:36:43 PM,0.5757971271673678,4.1,0
off_regen_eq,0,0,0,0,1.991910116,-1.3224e-05,0,0,0,0,0.044359041896438474, 1/25/2023 6:01:42 PM,0.96319091498207,40000,0
on_regen_eq,97378.21372922,0.383411359,0,0,0,0,0,0,0,0,0.03474086498525279, 1/24/2023 2:54:29 PM,0.9962856368953755,100001,0
op_fm_eq,0,0,0,0,0,0,0.290528801,-20.141018838,567.622805504,674.161169679,0.08792657165793258, 1/23/2023 12:59:03 PM,0.9958859179366398,60.1,0
pl_cst_eq,0,0,0,0,0,0,0,0.000189841,1.125069329,710.839962403,0.19181540196500685, 1/13/2023 11:24:17 AM,0.9665490920876908,6601,0
pp_chv_eq,0,0,0,0,0,0,0,23.867181313,53.974127154,43.16515077,0.1427349787694592, 1/17/2023 10:59:04 AM,0.9337515499471747,12.1,0
pp_man_eq_large,0,0,0,0,0,0,0,0,2553.344359752,-25690.347540136,0.1288535088310907, 1/17/2023 10:02:52 AM,0.8113765781338367,24.1,14
pp_man_eq_small,0,0,0,0,0,0,0,12.117823524,45.057729,112.997449909,0.2556628804823193, 1/17/2023 9:54:09 AM,0.8631768406961853,12,0
pp_mov_eq_large,0,0,0,0,0,0,0,0,2443.38007231,-21582.792424031,0.10606175481157647, 1/17/2023 9:48:39 AM,0.8484577010644214,24.1,14
pp_mov_eq_small,0,0,0,0,599.000620282,0.18198897,0,0,0,0,0.1044259768556962, 1/17/2023 9:44:40 AM,0.979804634537516,12,0
prop_fm_eq,0,0,0,0,0,0,0.486674373,-19.177375645,593.880351607,1500.545795131,0.04521517984937741, 1/23/2023 12:59:37 PM,0.99578400826432,36.1,0
pump_eq,0,0,0,0,0,0,0,-0.00067003,14.80901498,4093.494684836,0.16787720556525074, 1/17/2023 11:35:59 AM,0.9581243118312417,10001,0
pvc_empump_eq,0,0,0,0,1147.972395851,0.054740779,0,0,0,0,0.39676137270947814, 1/17/2023 12:05:11 PM,0.6216291997592587,21.01,0
pvc_mmpump_eq,0,0,0,0,0,0,0.000584597,-0.31291286,58.800444323,3000.530660258,0.05912122313445706, 1/17/2023 12:20:25 PM,0.9580569710043529,132.01,0
pvc_pipe_eq,0,0,0,0,0,0,0,0.097106987,0.800977414,1.427719425,0.19469475172443332, 1/13/2023 3:33:26 PM,0.9975021896344989,48.1,0
seductor_eq,0,0,0,0,0,0,0,22.470786888,2229.891840031,-1911.930587201,0.10253211443061497, 1/23/2023 12:43:50 PM,0.9775571644211777,8.1,1.5
septic_tank_eq,0,0,0,0,0,0,0,-4.19e-07,1.820226125,-609.619270573,0.13229078030591235, 1/25/2023 3:54:56 PM,0.9986318382782665,100001,750
ss_chv_eq,0,0,0,0,0,0,0,43.739370735,186.790998664,114.073407746,0.22117751729640323, 1/17/2023 11:03:14 AM,0.9807261183811012,48.1,0
ss_cst_eq,57.021589231,0.729325391,0,0,0,0,0,0,0,0,0.06872076181729754, 1/13/2023 11:27:47 AM,0.994949975883126,30001,0
ss_empump_eq,2305.922200894,0.140989643,0,0,0,0,0,0,0,0,0.19379304652600138, 1/17/2023 12:17:46 PM,0.4009338692293699,21.01,0
ss_man_eq,271.983164586,0.925784152,0,0,0,0,0,0,0,0,0.19376804452462798, 1/17/2023 10:07:57 AM,0.8807162518733741,12.1,0
ss_mmpump_eq,0,0,0,0,0,0,0,-0.197615781,60.928056217,3430.800455243,0.05338252717306853, 1/17/2023 12:20:38 PM,0.9732140275613227,132.01,0
ss_mov_eq,0,0,0,0,0,0,1.481345126,44.575825873,-42.850924452,1429.585285147,0.2754835444494839, 1/17/2023 9:46:38 AM,0.9385946584585879,48.1,0
ss_pipe_eq,0,0,0,0,0,0,0.048585111,-2.584525622,58.928328318,-12.466035675,0.2560591342257995, 1/13/2023 3:33:57 PM,0.9364659872844363,48.1,0
ss_pv_eq,0,0,0,0,0,0,4e-08,-0.001652243,26.487093706,28673.43064482,0.14140922623004518, 1/13/2023 9:40:25 AM,0.9854921750095039,27101,0
st_bwt_eq,308.937130926,0.501467571,0,0,0,0,0,0,0,0,0.20490922198574954, 1/13/2023 10:20:56 AM,0.9511702877639052,289001,0
st_pipe_eq,20.769417377,0.92382199,0,0,0,0,0,0,0,0,0.4291192790236218, 1/13/2023 3:34:36 PM,0.3993045292808285,48.1,0
ven_fm_eq,0,0,0,0,0,0,-0.089659137,7.381419291,135.40877887,2010.462068774,0.07958903367849325, 1/23/2023 12:59:16 PM,0.9820229975521041,48.1,0
